City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,bilma,18.69,12.92,88.65,14,0,7.47,NE,1585690247
307,scarborough,54.28,-0.4,46.0,81,87,3.36,GB,1585690205
308,iqaluit,63.75,-68.51,-2.2,58,20,3.36,CA,1585689954
309,macas,-2.32,-78.12,71.6,83,75,8.05,EC,1585690248
310,belize,17.25,-88.75,96.8,47,40,4.7,BZ,1585690248
311,terra santa,-2.1,-56.49,78.55,94,100,2.13,BR,1585690249
312,ratnagiri,16.98,73.3,77.18,70,17,8.68,IN,1585690249
313,klaksvik,62.23,-6.59,44.6,87,100,28.86,FO,1585689959
314,saskylakh,71.92,114.08,-6.92,89,96,13.18,RU,1585690002
315,pontal do parana,-25.65,-48.51,80.01,73,20,10.29,BR,1585690250
316,kushima,31.46,131.23,59.0,93,90,5.82,JP,1585690250
317,san angelo,31.46,-100.44,73.4,35,1,6.93,US,1585690086
318,khuzhir,53.19,107.34,29.89,81,94,11.79,RU,1585690250
319,nioki,-2.72,17.68,73.49,87,100,1.63,CD,1585690251
320,vuktyl,63.86,57.31,13.53,92,99,2.3,RU,1585690251
321,whitehorse,60.72,-135.05,16.0,36,75,11.41,CA,1585690159
322,sambava,-14.27,50.17,78.15,87,95,3.13,MG,1585690251
323,manaure,11.78,-72.44,84.2,66,20,13.87,CO,1585690251
324,kenai,60.55,-151.26,28.4,58,1,3.36,US,1585690179
325,balakhta,55.38,91.6,33.04,80,93,3.8,RU,1585690252
326,lac du bonnet,50.25,-96.06,49.84,67,26,10.56,CA,1585690252
327,tornio,65.85,24.15,33.8,59,2,4.7,FI,1585690252
328,urumqi,43.8,87.6,44.6,28,0,4.47,CN,1585690252
329,labrea,-7.26,-64.8,86.31,72,83,1.39,BR,1585690253
330,margate,51.38,1.39,42.01,80,0,3.36,GB,1585690253
331,livezile,47.18,24.57,27.57,78,19,4.34,RO,1585690253
332,melilla,35.29,-2.94,62.6,82,100,4.7,ES,1585690254
333,supe,-10.8,-77.73,77.83,64,75,8.7,PE,1585690254
334,ramgarh,23.63,85.52,71.6,64,0,5.44,IN,1585690060
335,qaqortoq,60.72,-46.03,35.6,74,20,5.82,GL,1585690254
336,kaberamaido,1.74,33.16,73.94,50,78,1.05,UG,1585690255
337,santa fe,-31.63,-60.7,89.01,51,70,1.99,AR,1585690247
338,ferkessedougou,9.6,-5.2,91.38,29,34,3.09,CI,1585690255
339,frontera,26.93,-101.45,83.23,12,4,9.35,MX,1585690255
340,san quintin,30.48,-115.95,66.83,59,100,10.58,MX,1585690159
341,saint-francois,46.42,3.91,37.4,51,0,4.7,FR,1585690183
342,sao domingos do maranhao,-5.58,-44.39,79.32,78,53,3.33,BR,1585690256
343,khani,41.96,42.96,44.6,93,0,6.93,GE,1585690256
344,saint-joseph,-21.37,55.62,77.0,83,75,6.93,RE,1585690257
345,spornoye,50.84,37.29,23.0,73,10,8.95,RU,1585690257
346,ilulissat,69.22,-51.1,3.2,77,97,17.22,GL,1585690257
347,nabire,-3.37,135.48,76.87,88,97,1.34,ID,1585690257
348,gwanda,-20.93,29.0,68.32,34,95,7.85,ZW,1585690258
349,thinadhoo,0.53,72.93,82.76,70,94,10.11,MV,1585690258
350,nouadhibou,20.93,-17.03,69.8,68,100,12.75,MR,1585690258
351,seymchan,62.88,152.43,1.08,83,13,4.47,RU,1585690259
352,mukhen,48.1,136.1,31.71,91,63,4.92,RU,1585690259
353,muisne,0.6,-80.03,82.4,83,75,6.93,EC,1585690259
354,zhenhai,24.26,118.09,62.6,93,90,4.47,CN,1585690259
355,turukhansk,65.82,87.98,5.49,95,79,6.13,RU,1585690260
356,axim,4.87,-2.24,81.32,86,62,6.91,GH,1585690260
357,sitka,57.05,-135.33,37.4,40,20,5.82,US,1585690024
358,mangrol,21.12,70.12,73.42,83,0,10.29,IN,1585690260
359,okhotsk,59.38,143.3,15.26,93,69,2.95,RU,1585690261
360,aykhal,66.0,111.5,-7.6,83,100,8.95,RU,1585690261
361,tuatapere,-46.13,167.68,52.0,98,51,3.13,NZ,1585690261
362,vitim,59.45,112.56,23.9,95,100,2.1,RU,1585690261
363,batagay-alyta,67.8,130.41,-8.59,75,84,1.99,RU,1585690262
364,chernoyerkovskaya,45.43,37.77,44.6,70,75,11.18,RU,1585690262
365,college,64.86,-147.8,24.8,32,1,9.17,US,1585690167
366,guarapari,-20.67,-40.5,81.0,88,75,3.36,BR,1585690263
367,avera,33.19,-82.53,62.01,87,90,4.7,US,1585690161
368,kuusamo,65.97,29.18,24.8,92,90,2.24,FI,1585690136
369,tazovskiy,67.47,78.7,5.88,95,23,10.92,RU,1585690263
370,camocim,-2.9,-40.84,79.36,89,97,8.88,BR,1585690263
371,las vegas,36.17,-115.14,75.0,21,1,4.7,US,1585690106
372,sept-iles,50.2,-66.38,41.0,48,90,13.87,CA,1585690264
373,rundu,-17.93,19.77,68.61,63,26,4.85,NA,1585690264
374,half moon bay,37.46,-122.43,71.01,82,75,13.87,US,1585690265
375,alwar tirunagari,8.6,77.95,79.39,60,49,6.82,IN,1585690265
376,sanming,26.25,117.62,51.66,80,59,2.95,CN,1585690265
377,egvekinot,66.32,-179.17,8.74,92,90,4.88,RU,1585690025
378,nanortalik,60.14,-45.24,33.19,89,32,15.05,GL,1585690266
379,vila franca do campo,37.72,-25.43,55.4,62,20,11.41,PT,1585689995
